Movie_Name_EN,Movie_Name_CN,Date,Star,Comment,Like,Sentiment_Score
Tiny Times 1.0,小时代1,2013-06-26,1, 我不黑什么郭敬明和杨幂，我对他们不了解，我只是觉得这种电影所宣扬浮夸奢靡空洞无物的价值观有百害而无一利，我说这话不是想做道德标杆，只是不想看到弟弟妹妹们潜移默化受其影响，整天无病呻吟、拜金装B,7085,0.5803607380980995
Tiny Times 1.0,小时代1,2013-06-26,1, 做人要客观，摆事实讲道理，但是人都会有立场。我跟我妈说我没研究过国际法和那段历史不知道钓鱼岛是不是中国的，这叫客观；但我妈说：滚，钓鱼岛就是中国，这叫立场............扯远了回到这破电影，打一星就是立场。,6588,-4.53784459309746
Tiny Times 1.0,小时代1,2013-06-26,1, 这片要是能超过3分我跪舔幂幂脚。,5815,-1.6051560090742998
Tiny Times 1.0,小时代1,2013-06-26,1, 郭敬明太牛了！他知道脑残少女的G点在哪里！相信我！你会潮喷的！,5183,-0.4314314160129997
Tiny Times 1.0,小时代1,2013-06-26,1, 你们不要黑郭导好么，人家这部电影完美地诠释了“场景的华丽堆砌”、“没主线即主线”、“如何塑造空洞的人物灵魂”、“论特写镜头如何滥用”等词句。郭导的良苦用心岂是你们这群低级影迷能理解的，哼，哼哼……,4731,16.803731617748497
Tiny Times 1.0,小时代1,2013-06-17,3, 赵薇说，长得好看的人才有青春；郭小四说，错，有钱的人才有青春。,4204,5.415154204533
Tiny Times 1.0,小时代1,2013-06-25,1, 婚纱写真影楼VIP套系,3830,5.747081404589999
Tiny Times 1.0,小时代1,2013-06-27,1, 剧情基本就是杰娜小说的水平，各种意淫和浮夸。人物没有灵魂，不说人话，不干人事，全是些符号化的标签与假想。故事碎的要命，再用一些矫揉造作的独白以画外音串在一起。当然，很多人吃这套，她们还会把那些台词抄下来作为影评，寄托自己青春的哀伤。还什么没落的贵族，好可怕的台词。,3409,-0.15478892164849842
Tiny Times 1.0,小时代1,2013-06-20,1, 什么小时代，这明明是《郭多利亚的秘密》时装T台秀，上影节首映那票，有个小姑娘出120块要买，我没卖，我现在后悔死了。,3273,1.3965190880596028
Tiny Times 1.0,小时代1,2013-06-26,1, “不看电影《小时代》，都不好意思说自己跟郭美美是同时代的人，更不好意思说自己是早已搬离城乡结合部的花季少女。”——周黎明,2992,9.888947605870904
