Movie_Name_EN,Movie_Name_CN,Date,Star,Comment,Like,Sentiment_Score
Journey to the West The Demons Strike Back,西游伏妖篇,2017-01-27,1, 周星驰徐克，你们缺钱直接给大家个支付宝就行了。真不用这样。,15499,6.4478305040907
Journey to the West The Demons Strike Back,西游伏妖篇,2017-01-28,2, 呵呵。,12134,0.6547370106757
Journey to the West The Demons Strike Back,西游伏妖篇,2017-01-27,1, 孙悟空支撑起了国产电影的半壁江山,8947,1.5438137434191
Journey to the West The Demons Strike Back,西游伏妖篇,2017-01-28,1, 有吴亦凡你懂得！欠周星驰的电影票已还完！,9741,4.9341344528015
Journey to the West The Demons Strike Back,西游伏妖篇,2017-01-28,2, 周星驰先生，我不再欠你的电影票了。祝您晚年幸福。,7839,7.4011750463564
Journey to the West The Demons Strike Back,西游伏妖篇,2017-01-28,1, 周星驰+徐克我确实很想看，但是演员吴亦凡+林更新+包贝尔， 我只能微笑了，有时候看演员阵容就可以预测到片子的好或烂,7550,10.341700275604001
Journey to the West The Demons Strike Back,西游伏妖篇,2017-01-28,5, 如果这叫烂片，希望其他国产片至少能达到这种“烂片”水准。特效炸裂！演员无功，勉强无过，吹吴亦凡演技的拜托消停点，林更新可以及格。徐克星爷化腐朽（演员阵容）为神奇的本事算是见识了，喜欢新诠释的暗黑西游记，续集再来三部不怕多！本片四星，值得去影院观看。最后看不下去无脑喷子，加一星！,7069,21.089152523948364
Journey to the West The Demons Strike Back,西游伏妖篇,2017-01-27,1, 烂透了真心烂透了！完全没有无头绪的东拉一点西扯一点,6206,-2.6463676336973996
Journey to the West The Demons Strike Back,西游伏妖篇,2017-01-28,1, 我们真的错怪了张艺谋！这片子比《长城》简直差了100个《摆渡人》,5843,4.8576545555799
Journey to the West The Demons Strike Back,西游伏妖篇,2017-01-28,2, 全片最好看的居然是舒淇。,3520,1.1941226931043993
