Movie_Name_EN,Movie_Name_CN,Date,Star,Comment,Like,Sentiment_Score
CUG King of Heroes,大圣归来,2015-07-12,4, 有人说挺《小时代》的人都将在电影史耻辱柱上有一席之地。那么给《大圣归来》的打一星的人也是如此！此片真称不上什么神作，但打一星的人心理够阴暗啊，天天喷国产片垃圾，出了一部质量尚可的却跑来打压，从垃圾跃进到好莱坞靠嘴喷即可？若喷最狠的人连票都没买，那我还真是没见过这么厚颜无耻的人了！,12359,5.973767569709021
CUG King of Heroes,大圣归来,2015-07-05,4, 京剧+摇滚+大话西游配乐，孙猴如何解印、老师傅咋来悬空寺是败笔，但有气魄、胆识、干劲、瑕不遮瑜。大闹天宫，3D红绫披风、秒杀众神超酷炫霸气，嫩萌唐僧江流儿、狂野战神孙猴，吃货八戒变身骗女妖，小白龙太客串。山妖飞檐走壁惊险追杀，白脸妖BOSS变恐怖巨虫怪，山崩地裂、寺庙粉碎大战，还不知足？,5853,19.523221842077504
CUG King of Heroes,大圣归来,2015-07-05,4, 四星。1.甩开《超能陆战队》这种屎片几百条大街。2.西游记新编，无论从故事创作还是动画特效都是无懈可击，完全的好莱坞动画水准，亮点在运动镜头和主观镜头，还有牛逼的3D视效。3.悟空的封印之所以解除是因为认同流儿的正义、勇敢和惩恶扬善的价值观，这就够了。,5483,21.228233963358797
CUG King of Heroes,大圣归来,2015-07-01,1, 实在不喜欢这种病毒式宣传方式，上映前一堆人在各大网站洗脑，电影怎么怎么好，哭成狗，官方没钱宣传好可怜，勾情怀...造成Herd effect，弄得人们无脑帮忙宣传。其实这电影就是剧情单调，画面一般，适合低龄，三星标杆。,4185,13.683164603168327
CUG King of Heroes,大圣归来,2015-07-03,2, 造型太杂（结尾大蠕虫甚至恶心和吓人），角色形象cos痕迹明显（《超能陆战队》反派、《大话西游》至尊宝和话唠唐僧、《驯龙高手》附体山妖...），笑料刻意，故事改编添油加醋，虽然打斗和追逐戏不错，技术让动画更逼真，但整体剧情和创意没提升，依旧是没有突破的国产动画，弱剧情更适合儿童群体观看。,3526,38.65150138303289
CUG King of Heroes,大圣归来,2015-07-06,5, 带着怀疑心态去看，结果出乎意料。我觉得比《疯狂原始人》好看太多，比《功夫熊猫2》也不逊色。动画水平非常出色，3D效果也是今年最佳。动作设计很明显有抄《黑客帝国2》与《降临之子》，但也可圈可点。剧情不低幼，借西游记的壳讲自己的故事，很有追求。简直是近年最好看的国产动画。大力推荐！四星半,4665,35.76607409583917
CUG King of Heroes,大圣归来,2015-07-11,5, 真的超出预期了，作为一个学动画专业的，知道一部这样的动画片作出来有多费劲，国漫是在慢慢进步的。当然缺点还是不少，剧情单薄了，胜在效果确实不错，值回票价。还是可以更好的，多些自己的特色，汪峰bgm真是有点违和。小刀会好燃！！！好好沉下心做续集吧！也请出点周边哈哈,4093,13.131861098544379
CUG King of Heroes,大圣归来,2015-07-12,4, 这是我第一次特别自豪地没有用「国产电影」的标准给这部动画片打了4星。除了结尾明显的剧作缺陷外（我怀疑是缺钱制作没完成，因为以前半部分的剧作水平而言没可能这么明显的缺陷编剧不知道），整体水平真的可以放在同一个水平线上来比较的。这种电影我们作为观众一定要用电影票给它一个机会！,3024,11.06770626118436
CUG King of Heroes,大圣归来,2015-07-04,2, 我抱着期望来，以为是一部严肃作品，然而电影的调性还是毫无例外的起-落-起三段式全年龄家庭向动漫，痕迹明显的包袱企图逗乐观众，满厅的小朋宇炸了锅，可是我没笑。故事走向弱的一塌糊涂。对此，我也只能说，至少特效值了票价。我知道制作方已经很用心了，但是没有灵魂的大圣和一条狗又有什么区别呢,2397,8.353467825921161
CUG King of Heroes,大圣归来,2015-07-06,4, 4.0。1.龙真的会飞，是全片最宏大瞬间。2.前半场很好看，遗憾白龙出场后剧情随之变弱，后半场西化明显。2.重构经典的念想不错，江流儿与悟空的搭对爆笑不断；可惜山妖设定太粗糙，土地公公的萌点中途被掐断，客栈惊魂夜也没啥亮点。3.尽管老调重弹，但还是不乏新意，希望中国动画能挖掘出更多新题材。,2709,32.06065898329312
CUG King of Heroes,大圣归来,2015-07-05,4, 是很燃，有笑果有泪点。剧情对我来说，说服力不够；对低龄观众可能又略复杂，江流儿疑似死掉的时候有小孩没搞清情况大笑。当然这是求全责备，好的地方毋庸置疑，尤其很多细节我非常喜欢。配乐不够精准，能感受到创作意图，但音乐与场面的配合有点问题，影响效果。,2687,12.56743053382652
CUG King of Heroes,大圣归来,2015-07-05,3, 放到国内院线动画片里，给三星半鼓励下吧。不知道小朋友会不会更喜欢呢？因为故事蛮简单的，剧情上并没太吸引人的地方，挺遗憾的。情节的亮点其实就是对经典的重写。亮点主要在制作上，确实比较用心，比如很多动作镜头或是主观运动镜头的设计。小刀会的音乐也不错。,2063,26.959284269024206
CUG King of Heroes,大圣归来,2015-07-05,3, 口碑营销过了点，很讨厌这种你批评这电影粉丝就过来骂你这样的方式。技术层面是挺优秀的，画面，场景和动作，几段打戏也漂亮，最后大圣归来也威风。但是故事真的太薄弱了，前一个小时几乎没啥信息量。立意，内核都配不上这么高的分。,1718,6.4308597642089875
