Movie_Name_EN,Movie_Name_CN,Date,Star,Comment,Like,Sentiment_Score
Captain America Civil War,美国队长3,2016-05-05,3, 好兄弟手刃了钢铁侠父母，却颠倒是非站在哥们一侧，理由仅仅是意志被坏人控制了。钢铁侠，这顿揍没打出气，我替你着急。不管是谁，遇事就得说个理字。一意孤行，装逼逞强，圣母慈悲，背后捅刀，美国队长，这一回，做人我实在看不起你。PS. 能来点真正的干货讨论么，热评全是搞基搞基的，，，,4990,-11.362985015753642
Captain America Civil War,美国队长3,2016-05-06,5, 觉得美国队长是一个很糟糕的人，跟人家姑妈谈了纯爱，又搞人家侄女；假惺惺说是钢铁侠朋友，实际上早就知道他爸是谁杀的，还偏袒凶手。前几部树立的三观全他妈塌了，但是电影好棒！好他妈棒！好爱蜘蛛侠哦！感觉是史上最棒的蜘蛛侠呢！,4311,2.1996395060585017
Captain America Civil War,美国队长3,2016-05-07,4, 如果说你真的要走 / 把你的盾牌还给我 / 在你身上也没有用 / 我可以还给我爸爸,2633,-3.1115704001977997
Captain America Civil War,美国队长3,2016-05-06,2, 我就不明白美队这样的片子还能上八分？豆瓣已经不是当年的豆瓣了。,2550,-1.8435713781299006
Captain America Civil War,美国队长3,2016-05-05,5, 雷神说了，我和浩克不来那是为了你们好，我们要是来了，你们还打什么架啊,2052,-3.5613431478620994
Captain America Civil War,美国队长3,2016-05-06,1, 我受不了了这个弱智电影，cp撕逼莫名其妙，葬礼和人侄女眉来眼去，awkward kissing，好好一个英雄法案的故事不好好拍他妈的搞什么玩意，一边看着一遍就能看到背后粉丝cp撕逼演员撕逼勾心斗角，港真你们想看一个超级英雄电影就是为了看这种粉圈情节，妈的智障，气死我了,1862,-16.8354150800923
Captain America Civil War,美国队长3,2016-05-04,4, 什么内战嘛，就是个美队为爱走天涯的故事。我承认——我有罪，小蜘蛛x钢铁侠这对我居然在脑内污出了1000篇养成文，还是一言不和就家暴模式...,1763,1.9345585091855
Captain America Civil War,美国队长3,2016-05-02,3, 为啥美队阻止tony报父仇啊，精神病杀人也就能脱罪我觉得法理不通啊！,1613,-9.329818166414801
Captain America Civil War,美国队长3,2016-04-30,3, 没看出什么有意义的价值讨论，就是两边都很固执骄傲的一群人。对比之下黑豹才像个真正的领袖，而幻视则是在铁人队已经全线降低战斗逼格的情况下全程思考人生尽力旁观不开挂的哲学家。漫威架构大了后不连贯也开始明显，剧里为队长自责一生不要命的开飞机去找他的霍华德让人很难认同片中冷漠无情的队长。,1503,9.392037692028005
Captain America Civil War,美国队长3,2016-05-06,4, 小！蜘！蛛！你！要！不！要！那！么！可！爱！！！！！,1362,4.0836336344775
