Movie_Name_EN,Movie_Name_CN,Date,Star,Comment,Like,Sentiment_Score
Chinese Zodiac,十二生肖,2012-12-11,2, 成龙去到一个地方执行任务，轻易闯入，轻易得手，离开的时候被发现，大打一架；成龙去到一个地方执行任务，轻易闯入，轻易得手，离开的时候被发现，大打一架；成龙去到一个地方执行任务，轻易闯入，轻易得手，离开的时候被发现，大打一架。The End。,1720,0.3736505127681007
Chinese Zodiac,十二生肖,2012-12-20,2, 现在大哥还在拍片的目的就是寻找新的木耳这事我能跟你说么？,1025,0.5673528055700997
Chinese Zodiac,十二生肖,2012-12-20,4, 标准的成龙电影，国际范、大手笔，风格、故事与飞鹰计划一脉相承，杂耍打斗、诙谐搞笑、美女争风、多国取景，可惜成龙一人包办太多，几个男配暗淡无光呆板无趣，剧情虎头蛇尾、叙事苍白生硬。整体而言还算满意。PS:一位年近六旬功成名就坐拥几十亿身家的国际巨星依然不惜搏命演出，你还能要求什么呢？,642,27.881243155474063
Chinese Zodiac,十二生肖,2012-12-20,1, 龙己逝，早成了虫了．电脑上看看的东西．,423,4.4287593981859
Chinese Zodiac,十二生肖,2012-12-20,2, 小时候的偶像，现在还是去当人大代表吧,383,0.7271170256346002
Chinese Zodiac,十二生肖,2012-12-11,2, 这是一部充满算计的电影，那些所谓的“民族大义”以喊口号的形式频频闪现，所以它骨子里还是“献礼片”。成龙牌冷饭还是比黄百鸣之流的好点儿，至少一些打设可以看出是有用心的，原来李宗盛的偶像是宋丹丹。,381,13.7178881851855
Chinese Zodiac,十二生肖,2012-12-18,2, 左派说教比右派说教更让人受不了。,377,-2.1422780388053
Chinese Zodiac,十二生肖,2012-12-20,1, 这他妈的就是一坨屎。,357,-5.2462511630396
Chinese Zodiac,十二生肖,2012-12-20,2, 还以为是“八仙过海各显神通”那种的十二生肖大乱斗呢，结果是部爱国主义教育片……,305,-3.2635324591190003
Chinese Zodiac,十二生肖,2012-12-12,2, 有邓景生就知道“成龙电影”又回来了，杂耍打斗依然好看，可龙头蛇尾，前1/3均发展稳妥，笑料适中。但“丛林冒险”的喧闹与整体极不协调，之后便开始脱臼，赝品工厂和跳火山直接蛇尾。炫耀高科技玩意过于卖弄，拙劣的特技也充满山寨味，还不如那个佳能广告设计的好！最后爱国主义的俯冲真是假惺惺啊！,294,24.52217509059499
Chinese Zodiac,十二生肖,2012-12-14,5, 贺岁档几部比较值得看的影片之一，成龙的一贯风格，加了很多幽默的元素。感觉编剧是用了心的~ 值得看值得看~ BTW.:这种片子看2D就好了。,350,21.930702302756504
